the base term,Antonyms,Antonyms in Korean,Choice1,Choice2,Choice3,Choice4
צ½ב¦,Ñךב¦,³­¼¼,Ñךב¦,Ñךאד,Ñמב¦,Ñמאד
ןסÔÁ,ÑתÔÁ,³²µ¶,ÑתÔÁ,ÑתÔ¾,ÑûÔÁ,ÑûÔ¾
ן½ו³,ÑתיÄ,³²¿כ,ÑתיÄ,ÑתיÉ,ÑûיÄ,ÑûיÉ
ÝטÜÃ,Ò¨ÜÃ,³¶÷¸,Ò¨ÜÃ,Ò¨ÜÇ,Ò¥ÜÃ,Ò¥ÜÇ
Ëûו³,Ò©Þ¨,³¶÷ס,Ò©Þ¨,Ò©Ýף,Ò¥Þ¨,Ò¥Ýף
ן½ו³,Ò©Þ¨,³¶÷ס,Ò©Þ¨,Ò©Ýף,Ò¥Þ¨,Ò¥Ýף
Ó¿‗ה,ÒØ‗ה,³ף»צ,ÒØ‗ה,ÒØ‗א,ÒÛ‗ה,ÒÛ‗א
Ó‗ü¥,Ô¼ÛÜ,µ¶¹י,Ô¼ÛÜ,Ô¼ÛÞ,Ô¾ÛÜ,Ô¾ÛÞ
ם‏ן©,ÔÖן©,µ¿Àü,ÔÖן©,ÔÖמר,ÔÚן©,ÔÚמר
ל¦Óן,ÔןÓן,µÐµµ,ÔןÓן,ÔןÔ®,ÔכÓן,ÔכÔ®
ש»Õ×,ÔשÏ‏,µמ±Í,ÔשÏ‏,ÔשÏÏ,ÔעÏ‏,ÔעÏÏ
ס§פÃ,Ôפעה,µמÁר,Ôפעה,ÔפעÖ,Ôעעה,ÔעעÖ
בÜאק,Ø¹אק,¸¸¼÷,Ø¹אק,Ø¹ב¥,Ø¶אק,Ø¶ב¥
נÄגÙ,Ø¹גÙ,¸¸¼ק,Ø¹גÙ,Ø¹גÓ,Ø¶גÙ,Ø¶גÓ
Ù³Ôי,ØÇÚ­,¸»¹Ì,ØÇÚ­,ØÇÚ¼,ØÈÚ­,ØÈÚ¼
שØךÅ,ØÏךÅ,¸Á¿ש,ØÏךÅ,ØÏךÆ,ØÓךÅ,ØÓךÆ
דשעץ,Ù£ÙÍ,¸ם¸ס,Ù£ÙÍ,Ù£ÙË,Ù©ÙÍ,Ù©ÙË
ףÜנד,Ù¼Û§,¸נ¹ז,Ù¼Û§,Ù¼Û¸,Ù¸Û§,Ù¸Û¸
ÙÍחÊ,ÙÍבך,¸ס¼Û,ÙÍבך,ÙÍבו,ÙËבך,ÙËבו
ןסדך,Ú×עץ,¹°Áת,Ú×עץ,Ú×לך,Ú¨עץ,Ú¨לך
Ð‏ÊÊ,Ú±ÊÊ,¹Ì°£,Ú±ÊÊ,Ú±ÊÑ,Ú¼ÊÊ,Ú¼ÊÑ
ץÝÚ¤,Ú¸Ú¤,¹Ì¹®,Ú¸Ú¤,Ú¸Ú¥,Ú¼Ú¤,Ú¼Ú¥
ÚËÜ‎,ÚËÜ‏,¹Ð÷Î,ÚËÜ‏,ÚËÜÝ,ÚÍÜ‏,ÚÍÜÝ
‗¤מ¤,ÚËף¢,¹ÐÁ‎,ÚËף¢,ÚËה§,ÚÍף¢,ÚÍה§
‎§Óל,ÚÝÓל,¹Ú´צ,ÚÝÓל,ÚÝÓם,ÚאÓל,ÚאÓם
‎§Ö‗,ÚÝÖ‗,¹Ú·Ï,ÚÝÖ‗,ÚÝÖה,ÚאÖ‗,ÚאÖה
ÔÒכש,Úדכש,¹ÝÀÇ,Úדכש,Úדכצ,Úרכש,Úרכצ
Ï¬בÖ,Û¯Øף,¹ז¸י,Û¯Øף,Û¯Øר,Û¸Øף,Û¸Øר
ב¼û‎,Û¯û‎,¹זÈ­,Û¯û‎,Û¯ûü,Û¸û‎,Û¸ûü
‎וÑ¨,ÛÉÑ¨,¹ט±ג,ÛÉÑ¨,ÛÉÑ£,ÛÖÑ¨,ÛÖÑ£
פ¸מ¦,ÛÜצÂ,¹יÄ¡,ÛÜצÂ,ÛÜצ÷,ÛÞצÂ,ÛÞצ÷
שØ‗¤,ÛוØÏ,¹ר¸Á,ÛוØÏ,ÛוØÓ,ÚעØÏ,ÚעØÓ
Íµני,Ûזני,¹רÁ·,Ûזני,Ûזנך,Úעני,Úענך
‗ÛסÐ,ÛכסÐ,¹תÁÖ,ÛכסÐ,ÛכסÉ,ÛךסÐ,ÛךסÉ
Ê¦Ì½,ÜתÌ½,÷Î°ב,ÜתÌ½,ÜתÌÁ,ÜÝÌ½,ÜÝÌÁ
‗טÕÔ,Ý§זג,÷Î¿¬,Ý§זג,Ý§אÌ,ÜÝזג,ÜÝאÌ
צבנא,Üפנא,÷ÎÁ¶,Üפנא,ÜפנØ,ÜÝנא,ÜÝנØ
Ê¦רµ,Üתרµ,÷ÎÆם,Üתרµ,Üתר¾,ÜÝרµ,ÜÝר¾
‎לזם,ÝÉÒÁ,÷Ð³כ,ÝÉÒÁ,ÝÉÒÌ,ÝÊÒÁ,ÝÊÒÌ
Ê¦ז×,ÝÕז×,÷Ò¿¬,ÝÕז×,ÝÕאÌ,ÝØז×,ÝØאÌ
י¸Êע,ÝהÌ¥,÷ס°Ì,ÝהÌ¥,ÝהÌ¤,ÝףÌ¥,ÝףÌ¤
צאףÆ,Þ×Ñס,÷ס³­,Þ×Ñס,Þ×Ñמ,ÝףÑס,ÝףÑמ
Ó×Ûד,Þ×Ûד,÷ס¹ר,Þ×Ûד,Þ×Úע,ÝףÛד,ÝףÚע
ÍÔ‗Æ,ÝהבÔ,÷ס¼Ó,ÝהבÔ,ÝהבÛ,ÝףבÔ,ÝףבÛ
ÍÔה÷,ÝהבÔ,÷ס¼Ó,ÝהבÔ,ÝהבÛ,ÝףבÔ,ÝףבÛ
קÁך¡,Üתך¡,÷ס¿מ,Üתך¡,Üתיü,Ýףך¡,Ýףיü
צ¦לע,Þצלע,»חÀÓ,Þצלע,Þצלפ,Þמלע,Þמלפ
ËûבÈ,ÞÎצ¶,»חÄ¡,ÞÎצ¶,ÞÎצ÷,Þמצ¶,Þמצ÷
ן½ו³,ÞÎצ¶,»חÄ¡,ÞÎצ¶,ÞÎצ÷,Þמצ¶,Þמצ÷
פÕÊ¥,ÞûÊץ,»ט°¨,ÞûÊץ,ÞûÊת,Þ‎Êץ,Þ‎Êת
פÕÊ¥,Þûנ¶,»טÁ¦,Þûנ¶,Þûנ×,Þ‎נ¶,Þ‎נ×
ך¤Ù‏,‗¤Ù‏,»ך¹®,‗¤Ù‏,‗¤Ú¥,‗¢Ù‏,‗¢Ú¥
ן¾Ó‗,‗ÓÓ‗,»ף´כ,‗ÓÓ‗,‗ÓÓה,‗ÖÓ‗,‗ÖÓה
‗ÓÐ»,‗Ó‗ז,»ף»‎,‗Ó‗ז,‗Ó‗ח,‗Ö‗ז,‗Ö‗ח
כ÷ÞÄ,‗ÓךÞ,»ףÀ§,‗ÓךÞ,‗Óך×,‗ÖךÞ,‗Öך×
מÕקÖ,‗מÍ§,¼­°ט,‗מÍ§,‗מÌû,א£Í§,א£Ìû
מÕבÝ,‗מבÝ,¼­¼Õ,‗מבÝ,‗מבב,א£בÝ,א£בב
מÕם­,‗מם­,¼­ÀÚ,‗מם­,‗מם³,א£ם­,א£ם³
מÕקן,‗מקן,¼­ÆÄ,‗מקן,‗מקנ,א£קן,א£קנ
Ï¬בÖ,א·Û¯,¼®¹ז,א·Û¯,א·Û¸,א³Û¯,א³Û¸
ÑזÍצ,אקÍם,¼÷°ר,אקÍם,אקÍש,ב¥Íם,ב¥Íש
ב¨מס,ב¨‎­,¼¼ÈÄ,ב¨‎­,ב¨‎±,אד‎­,אד‎±
ÓÞצ‗,ב³צ‗,¼ÒÄ×,ב³צ‗,ב³צא,בÏצ‗,בÏצא
Ø¹אק,בÜאק,¼Ó¼÷,בÜאק,בÜב¥,בÛאק,בÛב¥
ה÷וÞ,בÔוÞ,¼Ó¾מ,בÔוÞ,בÔוÝ,בÛוÞ,בÛוÝ
ה÷וכ,בÔוכ,¼Ó¾נ,בÔוכ,בÔוט,בÛוכ,בÛוט
ה÷ךד,בÔךד,¼ÓÀ¯,בÔךד,בÔךח,בÛךד,בÛךח
‗זÖØ,גÙÖØ,¼ק·Î,גÙÖØ,גÙÖÎ,גÓÖØ,גÓÖÎ
‗זØü,גÙØü,¼ק¸י,גÙØü,גÙØר,גÓØü,גÓØר
חµÌ¤,גכÊא,¼ר°£,גכÊא,גכÊÑ,גרÊא,גרÊÑ
חµÌ¤,גכדÓ,¼ר½Ä,גכדÓ,גכדØ,גרדÓ,גרדØ
ס§פÃ,ד°Í­,½Â°ט,ד°Í­,ד°Ìû,ד×Í­,ד×Ìû
ס§פÃ,ד®וÀ,½Â¾ח,ד®וÀ,ד®וË,ד×וÀ,ד×וË
ס§פÃ,ד°עÅ,½ÂÁק,ד°עÅ,ד°עÂ,ד×עÅ,ד×עÂ
ס§פÃ,ד®עה,½ÂÁר,ד®עה,ד®עÖ,ד×עה,ד×עÖ
ס§פÃ,ד°עה,½ÂÁר,ד°עה,ד°עÖ,ד×עה,ד×עÖ
Ñגד­,דפד­,½Å½Â,דפד­,דפד×,דהד­,דהד×
Ê­Íצ,דשמ¤,½ÇÀח,דשמ¤,דשמ±,דתמ¤,דתמ±
בתן½,דקן½,½ÇÀ‎,דקן½,דקן¸,דתן½,דתן¸
ÛÜס¸,ה¢ו¨,½É¾‗,ה¢ו¨,ה¢ו¬,ה£ו¨,ה£ו¬
‗Ùאד,ו³אג,¾Ç¼³,ו³אג,ו³אÚ,Õ¥אג,Õ¥אÚ
Ó¹ש¶,הÂש¶,¾ÇÇÊ,הÂש¶,הÂÝפ,Õ¥ש¶,Õ¥Ýפ
‎יÝÇ,הÌנ¡,¾ÈÁ¤,הÌנ¡,הÌןÓ,הÎנ¡,הÎןÓ
הסצג,הסÐש,¾Ö±ג,הסÐש,הסÑ£,הקÐש,הקÑ£
Ù‏Ù¥,ו¯ØÁ,¾‗¸¸,ו¯ØÁ,ו¯Ø¶,ו¬ØÁ,ו¬Ø¶
‗Ùאד,ו²אד,¾א¼³,ו²אד,ו²אÚ,וµאד,וµאÚ
‗זÊ«,ו×Ê«,¾ח°¡,ו×Ê«,ו×Ê·,וËÊ«,וËÊ·
כהÊ¾,וÕÊ¾,¾ח°¢,וÕÊ¾,וÕÊÃ,וËÊ¾,וËÊÃ
ו¯Ïך,ז¨Ïך,¿©±Ç,ז¨Ïך,ז¨Ïל,ושÏך,ושÏל
ז¾Ò¿,ז¾Ýז,¿×÷ס,ז¾Ýז,ז¾Ýף,ז÷Ýז,ז÷Ýף
Ó¤ÑÀ,זזÑÀ,¿¬±ג,זזÑÀ,זזÑ£,אÌÑÀ,אÌÑ£
Ï‎Ò¡,זÑז÷,¿¬¿×,זÑז÷,זÑז²,אÌז÷,אÌז²
יÐÔץ,זכÔץ,¿­µמ,זכÔץ,זכÔע,זףÔץ,זףÔע
Ñגפ¸,זפב¦,¿°¼¼,זפב¦,זפאד,ז‎ב¦,ז‎אד
Ô¼Ø¡,חזבÕ,¿¹¼Ó,חזבÕ,חזבÛ,אÝבÕ,אÝבÛ
ÌÅבב,חלØ·,¿À¸¸,חלØ·,חלØ¶,הÂØ·,הÂØ¶
מ¤ÕÎ,טגÕÎ,¿Ü·¡,טגÕÎ,טגÕÇ,טאÕÎ,טאÕÇ
כךÍ³,יÁת°,¿כÇØ,יÁת°,יÁת«,יÉת°,יÉת«
Ù¥ÕÇ,יØך¦,¿ל¿ן,יØך¦,יØך¥,יךך¦,יךך¥
Ë§Ëם,יÐךץ,¿לÀ¯,יÐךץ,יÐךח,יךךץ,יךךח
ן¾ש¶,ךµש¶,¿רÇÊ,ךµש¶,ךµÝפ,ך»ש¶,ך»Ýפ
כÚû³,ך³שÏ,¿רÇÑ,ך³שÏ,ך³שÖ,ך»שÏ,ך»שÖ
Ú‏Õ·,ך×ץך,À§Ãא,ך×ץך,ך×ץמ,ך‗ץך,ך‗ץמ
Ë§Ëם,ךץו°,À¯¾א,ךץו°,ךץוµ,ךחו°,ךחוµ
כ»גק,כ»ז½,À°¿×,כ»ז½,כ»ז÷,כ¿ז½,כ¿ז÷
כךÍ³,כ×ת°,À¶ÇØ,כ×ת°,כ×ת«,כÖת°,כÖת«
כגÒ³,כגÑû,À½³²,כגÑû,כגÑץ,כדÑû,כדÑץ
Ô¼Ø¡,כמצג,ÀÇÅ¸,כמצג,כמצח,כצצג,כצצח
ןבקÖ,ל¶Ó®,ÀÌ´Ü,ל¶Ó®,ל¶Ó°,ז¶Ó®,ז¶Ó°
ה²ÛÀ,ל¶ÛÀ,ÀÌ¹ז,ל¶ÛÀ,ל¶Û¸,ז¶ÛÀ,ז¶Û¸
ÔÒל¡,ל¶ל¡,ÀÌÀÇ,ל¶ל¡,ל¶כצ,ז¶ל¡,ז¶כצ
ÔÒכע,ל¶כע,ÀÌÀÇ,ל¶כע,ל¶כצ,ז¶כע,ז¶כצ
צ¦לע,לÆלע,ÀÌÀÓ,לÆלע,לÆלפ,ז¶לע,ז¶לפ
ל¦Ðש,ל¦צג,ÀÌÅ¸,ל¦צג,ל¦צח,ז¶צג,ז¶צח
לÚש»,לÚ‗¾,ÀÎ»ף,לÚ‗¾,לÚ‗Ö,לÖ‗¾,לÖ‗Ö
Ò‎ך×,ליך×,ÀÏ¿ר,ליך×,ליך»,למך×,למך»
לםעה,לםקÜ,ÀÏÅנ,לםקÜ,לםקÚ,למקÜ,למקÚ
לםמס,לם‎­,ÀÏÈÄ,לם‎­,לם‎±,למ‎­,למ‎±
לÑךÓ,ם»זÔ,ÀÚ¿¬,ם»זÔ,ם»אÌ,ם³זÔ,ם³אÌ
מ¤ו¯,מ¤נÈ,ÀחÁ¶,מ¤נÈ,מ¤נØ,מ±נÈ,מ±נØ
‎Ùם®,מום®,ÀûÀÚ,מום®,מום³,ם³ם®,ם³ם³
חÊןÈ,ן¶בך,Àü¼Û,ן¶בך,ן¶בו,מרבך,מרבו
חµÌ¤,ן®גכ,Àü¼ר,ן®גכ,ן®גר,מרגכ,מרגר
מת‎­,מתמס,ÀüÀü,מתמס,מתמר,מרמס,מרמר
ן·‗¾,ן·ש»,À‎ÇÏ,ן·ש»,ן·שÇ,ן¸ש»,ן¸שÇ
ןסÎו,נØהÂ,Á¶¾Ç,נØהÂ,נØÕ¥,נÛהÂ,נÛÕ¥
ÝÂא°,נüשך,Á¾ÇÕ,נüשך,נüשם,נצשך,נצשם
ÝÂא°,נüשך,Á¾ÇÕ,נüשך,נüשם,נצשך,נצשם
בÜüש,עÀüש,ÁצÈ¿,עÀüש,עÀ‎¡,דÛüש,דÛ‎¡
‎יÝÇ,עונ¡,ÁרÁ¤,עונ¡,עוןÓ,עÖנ¡,עÖןÓ
לÆשÛ,ף·שÛ,ÂרÇÑ,ף·שÛ,ף·שÖ,ף÷שÛ,ף÷שÖ
חµÌ¤,ףËÑב,Âû³×,ףËÑב,ףËÑ×,ףÍÑב,ףÍÑ×
צבד­,ףÓר¨,ÂüÆÐ,ףÓר¨,ףÓר§,ףÒר¨,ףÒר§
ץÅÊÇ,פ¥ם­,Ã³ÀÚ,פ¥ם­,פ¥ם³,פ¢ם­,פ¢ם³
טךØü,פÈØü,Ã¶¸י,פÈØü,פÈØר,פÐØü,פÐØר
טךנÁ,פÈנÁ,Ã¶Á¶,פÈנÁ,פÈנØ,פÐנÁ,פÐנØ
Ó¾פ¸,פחפ¸,Ã»Ãµ,פחפ¸,פחפ¾,פזפ¸,פזפ¾
פצÊ¥,פצÊץ,Ã¼°¨,פצÊץ,פצÊת,ן·Êץ,ן·Êת
Î‎פק,ץÎ‗Ú,Ã‗»ף,ץÎ‗Ú,ץÎ‗Ö,ץÖ‗Ú,ץÖ‗Ö
מÌס±,ץזÜØ,Ãא÷¹,ץזÜØ,ץזÜÇ,ץמÜØ,ץמÜÇ
ב©Ö£,צÃננ,Ä¡Á¹,צÃננ,צÃנס,צ÷ננ,צ÷נס
כØÑÃ,צØË½,Ä§°­,צØË½,צØË³,צÛË½,צÛË³
ÓÐüÉ,צØף·,Ä§Âר,צØף·,צØף÷,צÛף·,צÛף÷
פטב¦,צתב¦,Å¹¼¼,צתב¦,צתאד,Óרב¦,Óראד
Ê¥ל‎,ק­קÜ,Å»Åנ,ק­קÜ,ק­קÚ,ק¬קÜ,ק¬קÚ
Üתך¡,קÁך¡,ÅÂ¿מ,קÁך¡,קÁיü,קÅך¡,קÅיü
ÝÂא°,קÖשך,ÅכÇÕ,קÖשך,קÖשם,Ô×שך,Ô×שם
ע¥Ìü,קעÌü,ÆÄ°ט,קעÌü,קעÌû,קנÌü,קנÌû
טÝÔ³,ר®Ô³,ÆÐµµ,ר®Ô³,ר®Ô®,ר§Ô³,ר§Ô®
ג¥ץך,ר³ףל,ÆØÃ¢,ר³ףל,ר³ףÑ,ר±ףל,ר±ףÑ
חµÌ¤,ר¸Ê¾,Æם°¢,ר¸Ê¾,ר¸ÊÃ,ר¾Ê¾,ר¾ÊÃ
ה×Ùג,ר¸Ùג,Æם¹«,ר¸Ùג,ר¸Ùף,ר¾Ùג,ר¾Ùף
‗¾ג©,ש»ג©,ÇÏ¼צ,ש»ג©,ש»גÆ,שÇג©,שÇגÆ
ÔÏע¸,ש¾ע¸,ÇÏÁצ,ש¾ע¸,ש¾דÛ,שÇע¸,שÇדÛ
יÐÓג,שËÓג,ÇÐ´כ,שËÓג,שËÓה,שÉÓג,שÉÓה
‗פךÎ,שÎךÎ,ÇÑÀ§,שÎךÎ,שÎך×,שÖךÎ,שÖך×
כØÑÃ,שטÙÒ,ÇÔ¸פ,שטÙÒ,שטÙÑ,שדÙÒ,שדÙÑ
ÝÂ×מ,שךפק,ÇÕÃ¼,שךפק,שךן·,שםפק,שםן·
Ï¬בÖ,ת°Û¯,ÇØ¹ז,ת°Û¯,ת°Û¸,ת«Û¯,ת«Û¸
לÌנט,ת×נט,ÇØÁ¶,ת×נט,ת×נØ,ת«נט,ת«נØ
Üגעץ,תÞ‗Ú,Çצ»ף,תÞ‗Ú,תÞ‗Ö,Ì¸‗Ú,Ì¸‗Ö
ÏÁצא,תÞצא,ÇצÄ×,תÞצא,תÞצ‗,Ì¸צא,Ì¸צ‗
ÏÁק¾,תÞק¾,ÇצÅÂ,תÞק¾,תÞקÅ,Ì¸ק¾,Ì¸קÅ
‎וÑ¨,û¼Ñ¨,È£±ג,û¼Ñ¨,û¼Ñ£,ûÑÑ¨,ûÑÑ£
ÛÜÛ¥,ûץהÔ,È«¾È,ûץהÔ,ûץהÎ,ûןהÔ,ûןהÎ
‗זדÝ,û‎דÝ,È­½Ä,û‎דÝ,û‎דØ,ûüדÝ,ûüדØ
מסעה,‎­עה,ÈÄÁר,‎­עה,‎­עÖ,‎±עה,‎±עÖ
מתעז,‎­עז,ÈÄÁר,‎­עז,‎­עÖ,‎±עז,‎±עÖ
מסרµ,‎­רµ,ÈÄÆם,‎­רµ,‎­ר¾,‎±רµ,‎±ר¾
מסת£,‎­ת£,ÈÄÇ×,‎­ת£,‎­Ë½,‎±ת£,‎±Ë½
בתן½,‎Ãן½,ÈÑÀ‎,‎Ãן½,‎Ãן¸,‎½ן½,‎½ן¸
ÑÎנ¼,‎Õנ¼,ÈהÁ¶,‎Õנ¼,‎ÕנØ,‎×נ¼,‎×נØ
ÑÎנט,‎Õנט,ÈהÁ¶,‎Õנט,‎ÕנØ,‎×נט,‎×נØ
Õ×נ¯,Ðאנ¯,±ÞÁ¦,Ðאנ¯,Ðאנ×,Ðגנ¯,Ðגנ×
×מûז,Ê×צ¥,°¡Ãכ,Ê×צ¥,Ê×צ×,Ê·צ¥,Ê·צ×
ØדÏÐ,ûÞÏÐ,È£±¹,ûÞÏÐ,ûÞÏÓ,ûÑÏÐ,ûÑÏÓ
Üמשך,קעÖ®,ÆÄ¿­,קעÖ®,קעזף,קנÖ®,קנזף
