Synonyms,Hanja,the Korean Definition,Choice1,Choice2,Choice3,Choice4,,,,
±ØÀÇ,Ð¿ëò,¾î¶² ÀÏ¿¡ ¿Â Á¤½ÅÀ» ´Ù ±â¿ï¿© ¿­ÁßÇÔ,ÙÒÔé,ÙÒÔÁ,ÙÑÔé,ÙÑÔÁ,,,,
Àü½É,îöãý,¾î¶² ÀÏ¿¡ ¿Â Á¤½ÅÀ» ´Ù ±â¿ï¿© ¿­ÁßÇÔ,ÙÒÔé,ÙÒÔÁ,ÙÑÔé,ÙÑÔÁ,,,,
¸é±à,ØúÐæ,±æ°Ô »¸Ä§,ææÐæ,ææÐè,àÌÐæ,àÌÐè,,,,
¿¬±à,ææÐæ,±æ°Ô »¸Ä§,ØúÐæ,ØúÐè,ØøÐæ,ØøÐè,,,,
¿¬±à,æÅÐæ,±æ°Ô »¸Ä§,ØúÐæ,ØúÐè,ØøÐæ,ØøÐè,,,,
¿¬±à,æáÐæ,±æ°Ô »¸Ä§,ØúÐæ,ØúÐè,ØøÐæ,ØøÐè,,,,
ºÎÀ½,Ýµëå,»ç¶÷ÀÌ Á×¾ú´Ù´Â °ÍÀ» ¾Ë¸®´Â ¸»ÀÌ³ª ±Û,Í±Ýµ,Í±ÜÝ,ÍÀÝµ,ÍÀÜÝ,,,,
°íºÎ,Í±Ýµ,»ç¶÷ÀÌ Á×¾ú´Ù´Â °ÍÀ» ¾Ë¸®´Â ¸»ÀÌ³ª ±Û,Ýµëå,Ýµëã,ÜÝëå,ÜÝëã,,,,
ºÎ¹®,ÝµÚ¤,»ç¶÷ÀÌ Á×¾ú´Ù´Â °ÍÀ» ¾Ë¸®´Â ¸»ÀÌ³ª ±Û,Ýµëå,Ýµëã,ÜÝëå,ÜÝëã,,,,
¾Çº¸,äÂÜÃ,»ç¶÷ÀÌ Á×¾ú´Ù´Â °ÍÀ» ¾Ë¸®´Â ¸»ÀÌ³ª ±Û,Ýµëå,Ýµëã,ÜÝëå,ÜÝëã,,,,
¾Ö°è,äîÌö,»ç¶÷ÀÌ Á×¾ú´Ù´Â °ÍÀ» ¾Ë¸®´Â ¸»ÀÌ³ª ±Û,Ýµëå,Ýµëã,ÜÝëå,ÜÝëã,,,,
ÈÖÀ½,ýÉëå,»ç¶÷ÀÌ Á×¾ú´Ù´Â °ÍÀ» ¾Ë¸®´Â ¸»ÀÌ³ª ±Û,Ýµëå,Ýµëã,ÜÝëå,ÜÝëã,,,,
Èä¹®,ýÕÚ¤,»ç¶÷ÀÌ Á×¾ú´Ù´Â °ÍÀ» ¾Ë¸®´Â ¸»ÀÌ³ª ±Û,Ýµëå,Ýµëã,ÜÝëå,ÜÝëã,,,,
Èäº¸,ýÕÜÃ,»ç¶÷ÀÌ Á×¾ú´Ù´Â °ÍÀ» ¾Ë¸®´Â ¸»ÀÌ³ª ±Û,Ýµëå,Ýµëã,ÜÝëå,ÜÝëã,,,,
ÈäÀ½,ýÕëå,»ç¶÷ÀÌ Á×¾ú´Ù´Â °ÍÀ» ¾Ë¸®´Â ¸»ÀÌ³ª ±Û,Ýµëå,Ýµëã,ÜÝëå,ÜÝëã,,,,
¼­¶û,ßëÕÍ,µþÀÇ ³²ÆíÀ» ÀÌ¸£´Â ¸»,Ê¢ßë,Ê¢à£,Ê·ßë,Ê·à£,,,,
°¡¼­,Ê¢ßë,µþÀÇ ³²ÆíÀ» ÀÌ¸£´Â ¸»,ßëÕÍ,ßëÕÉ,à£ÕÍ,à£ÕÉ,,,,
±³°´,ÎãËÔ,µþÀÇ ³²ÆíÀ» ÀÌ¸£´Â ¸»,ßëÕÍ,ßëÕÉ,à£ÕÍ,à£ÕÉ,,,,
µ¿»ó,ÔÔßÉ,µþÀÇ ³²ÆíÀ» ÀÌ¸£´Â ¸»,ßëÕÍ,ßëÕÉ,à£ÕÍ,à£ÕÉ,,,,
¹ÝÀÚ,Úâí­,µþÀÇ ³²ÆíÀ» ÀÌ¸£´Â ¸»,ßëÕÍ,ßëÕÉ,à£ÕÍ,à£ÕÉ,,,,
¿©¼­,åüßë,µþÀÇ ³²ÆíÀ» ÀÌ¸£´Â ¸»,ßëÕÍ,ßëÕÉ,à£ÕÍ,à£ÕÉ,,,,
¿µ¼­,ç©ßë,µþÀÇ ³²ÆíÀ» ÀÌ¸£´Â ¸»,ßëÕÍ,ßëÕÉ,à£ÕÍ,à£ÕÉ,,,,
¿ø¾ç,êÀåÇ,À°Áö¿¡¼­ ¾ÆÁÖ ¸Ö¸® ¶³¾îÁ® ÀÖ´Â ¹Ù´Ù,ï¾ú­,ï¾ú«,ï¸ú­,ï¸ú«,,,,
ÀýÇØ,ï¾ú­,À°Áö¿¡¼­ ¾ÆÁÖ ¸Ö¸® ¶³¾îÁ® ÀÖ´Â ¹Ù´Ù,êÀåÇ,êÀåË,ê»åÇ,ê»åË,,,,
°­Ç³,Ë­ù¦,¼¼°Ô ºÎ´Â ¹Ù¶÷,ÌÍù¦,ÌÍù§,Ìâù¦,Ìâù§,,,,
°æÇ³,ÌÍù¦,¼¼°Ô ºÎ´Â ¹Ù¶÷,Ë­ù¦,Ë­ù§,Ë³ù¦,Ë³ù§,,,,
¸ÍÇ³,Øíù¦,¼¼°Ô ºÎ´Â ¹Ù¶÷,Ë­ù¦,Ë­ù§,Ë³ù¦,Ë³ù§,,,,
³ë¸Á,ÒÇØÍ,´Ä¾î¼­ ¸Á·ÉÀÌ µê ¶Ç´Â ±× ¸Á·É,ÒÇÎÊ,ÒÇÎÅ,ÒÌÎÊ,ÒÌÎÅ,,,,
³ë±¤,ÒÇÎÊ,´Ä¾î¼­ ¸Á·ÉÀÌ µê ¶Ç´Â ±× ¸Á·É,ÒÇØÍ,ÒÇØÓ,ÒÌØÍ,ÒÌØÓ,,,,
¸Á·É,ØÍÖÄ,´Ä¾î¼­ ¸Á·ÉÀÌ µê ¶Ç´Â ±× ¸Á·É,ÒÇØÍ,ÒÇØÓ,ÒÌØÍ,ÒÌØÓ,,,,
³­»ó,ÑïßÂ,ÃæºÐÈ÷ ÀÇ³íÇÔ. ¶Ç´Â ±×·± ÀÇ³í,âÙÓÈ,âÙÓÃ,âÓÓÈ,âÓÓÃ,,,,
¼÷´ã,âÙÓÈ,ÃæºÐÈ÷ ÀÇ³íÇÔ. ¶Ç´Â ±×·± ÀÇ³í,ÑïßÂ,ÑïßÖ,ÑîßÂ,ÑîßÖ,,,,
¼÷ÀÇ,âÙì¡,ÃæºÐÈ÷ ÀÇ³íÇÔ. ¶Ç´Â ±×·± ÀÇ³í,ÑïßÂ,ÑïßÖ,ÑîßÂ,ÑîßÖ,,,,
¼±Çà,à¼ú¼,ÂøÇÏ°í ¾îÁø Çà½Ç,Ê©ú¼,Ê©úº,Ê·ú¼,Ê·úº,,,,
°¡Çà,Ê©ú¼,ÂøÇÏ°í ¾îÁø Çà½Ç,à¼ú¼,à¼úº,Ðæú¼,Ðæúº,,,,
¼øÇà,âøú¼,ÂøÇÏ°í ¾îÁø Çà½Ç,à¼ú¼,à¼úº,Ðæú¼,Ðæúº,,,,
¼øÀ¯,âÞë´,ÀÌ°÷Àú°÷À¸·Î µ¹¾Æ´Ù´Ï¸ç ³ï,æ¸ë´,æ¸êç,æºë´,æºêç,,,,
¿ªÀ¯,æ¸ë´,ÀÌ°÷Àú°÷À¸·Î µ¹¾Æ´Ù´Ï¸ç ³ï,âÞë´,âÞêç,âøë´,âøêç,,,,
À¯·Â,ë´Õö,ÀÌ°÷Àú°÷À¸·Î µ¹¾Æ´Ù´Ï¸ç ³ï,ë´Õö,ë´Õ÷,êçÕö,êçÕ÷,,,,
Àº»ç,ëßÞÍ,"¿¹Àü¿¡, º­½½ÇÏÁö ¾Æ´ÏÇÏ°í ¼û¾î »ì´ø ¼±ºñ",ß£×ù,ß£×ú,ß¢×ù,ß¢×ú,,,,
»ê¸²,ß£×ù,"¿¹Àü¿¡, º­½½ÇÏÁö ¾Æ´ÏÇÏ°í ¼û¾î »ì´ø ¼±ºñ",ëßÞÍ,ëßÞî,ëÜÞÍ,ëÜÞî,,,,
»êÀå,ß£íþ,"¿¹Àü¿¡, º­½½ÇÏÁö ¾Æ´ÏÇÏ°í ¼û¾î »ì´ø ¼±ºñ",ëßÞÍ,ëßÞî,ëÜÞÍ,ëÜÞî,,,,
ÀÌ°è,ì¨Í£,¾ß¸¸ÀÎÀÌ »ç´Â ¶¥,ØÁò¢,ØÁãÛ,Ø¶ò¢,Ø¶ãÛ,,,,
¸¸Áö,ØÁò¢,¾ß¸¸ÀÎÀÌ »ç´Â ¶¥,ì¨Í£,ì¨Ìû,æ¶Í£,æ¶Ìû,,,,
¹øÁö,Ûæò¢,¾ß¸¸ÀÎÀÌ »ç´Â ¶¥,ì¨Í£,ì¨Ìû,æ¶Í£,æ¶Ìû,,,,
»ç¼ú,Þñâú,³²À» ¼ÓÀÌ´Â ¼ö´Ü,êÊÍª,êÊÌû,ê×Íª,ê×Ìû,,,,
À§°è,êÊÍª,³²À» ¼ÓÀÌ´Â ¼ö´Ü,Þñâú,Þñâù,Þîâú,Þîâù,,,,
»ó¹ú,ßÛÛë,»ó°ú ¹úÀ» ¾Æ¿ï·¯ ÀÌ¸£´Â ¸»,ßÛúý,ßÛûª,ßÖúý,ßÖûª,,,,
»óÇü,ßÛúý,»ó°ú ¹úÀ» ¾Æ¿ï·¯ ÀÌ¸£´Â ¸»,ßÛÛë,ßÛÛê,ßÖÛë,ßÖÛê,,,,
Æ÷¹ú,øæÛë,»ó°ú ¹úÀ» ¾Æ¿ï·¯ ÀÌ¸£´Â ¸»,ßÛÛë,ßÛÛê,ßÖÛë,ßÖÛê,,,,
Æ÷Â¡,øæó¤,»ó°ú ¹úÀ» ¾Æ¿ï·¯ ÀÌ¸£´Â ¸»,ßÛÛë,ßÛÛê,ßÖÛë,ßÖÛê,,,,
¼º¿å,àõé¯,¼ºÀû ÇàÀ§¿¡ ´ëÇÑ ¿å¸Á,ßäé¯,ßäé´,ßàé¯,ßàé´,,,,
»ö¿å,ßäé¯,¼ºÀû ÇàÀ§¿¡ ´ëÇÑ ¿å¸Á,àõé¯,àõé´,á¥é¯,á¥é´,,,,
»öÁ¤,ßäï×,¼ºÀû ÇàÀ§¿¡ ´ëÇÑ ¿å¸Á,àõé¯,àõé´,á¥é¯,á¥é´,,,,
¿åÁ¤,é¯ï×,¼ºÀû ÇàÀ§¿¡ ´ëÇÑ ¿å¸Á,àõé¯,àõé´,á¥é¯,á¥é´,,,,
