Four-character Idiom,Hanja,the Korean Definition,Choice1,Choice2,Choice3,Choice4,,,
군자삼락,君子三樂,"군자의 세 가지 즐거움. 부모가 살아 계시고 형제가 무고한 것, 하늘과 사람에게 부끄러워할 것이 없는 것, 천하의 영재를 얻어서 가르치는 것. 맹자 진심장에 보임.",君,窘,王,莞,,,
군자표변,君子豹變,군자는 허물을 고쳐 올바로 행함이 아주 빠르고 뚜렷함. 논어 자로편에 보임.,君,窘,王,莞,,,
궁여지책,窮餘之策,궁한 나머지 생각다 모사여 짜낸 계책.,窮,躬,竭,褐,,,
금의야행,錦衣夜行,비단옷을 입고 밤길을 다님. 생색이 나지 않음. 아무 보람이 없는 일을 함. 입신출세하고도 고향으로 돌아가지 않음.,錦,擒,絹,繭,,,
금의옥식,錦衣玉食,비단옷과 흰 쌀밥. 호화스럽고 사치스러운 생활.,錦,擒,絹,繭,,,
낙담상혼,落膽喪魂,실의에 빠지고 마음이 상해서 넋을 잃음.,落,諾,零,齡,,,
낙엽귀근,落葉歸根,잎이 떨어져 뿌리로 돌아감. 결국은 자기가 본래 났거나 자랐던 곳으로 돌아감.,落,諾,零,齡,,,
낙이불음,樂而不淫,즐기되 음탕하지는 않음. 즐거움의 도를 지나치지 않음. 논어 팔일편에 보임.,樂,諾,肯,亘,,,
난공불락,難攻不落,공격하기가 어려워 쉽사리 함락되지 아니함.,難,煖,艱,揀,,,
난상토의,爛商討議,충분히 생각하고 의견을 나누어 토의함.,爛,煖,炅,痙,,,
난신적자,亂臣賊子,나라를 어지럽히는 불충한 무리.,亂,煖,紊,蚊,,,
난형난제,難兄難弟,누구를 형이라 하고 누구를 아우라 하기 어려움. 두 사물이 비슷하여 낫고 못함을 정하기 어려움.,難,煖,艱,揀,,,
남가일몽,南柯一夢,꿈과 같이 헛된 한 때의 부귀영화. 당나라의 순우분이 술에 취하여 홰나무의 남쪽으로 뻗은 가지 밑에서 잠이 들었는데 괴안국으로부터 영접을 받아 20년 동안 영화를 누리는 꿈을 꾸었다는 데서 유래.,南,男,丙,餠,,,
남귤북지,南橘北枳,강남의 귤을 강북에 심으면 탱자가 됨. 사람은 사는 곳의 환경에 따라 착하게도 되고 악하게도 됨.,南,男,丙,餠,,,
남부여대,男負女戴,남자는 짐을 지고 여자는 짐을 이고 이동함. 가난한 사람들이 살 곳을 찾아 이리저리 떠돌아다님.,男,南,郞,囊,,,
남선북마,南船北馬,남쪽은 강이 많아서 배를 이용하고 북쪽은 산과 사막이 많아서 말을 이용함. 늘 쉬지 않고 여기저기 여행을 하거나 돌아다님.,南,男,丙,餠,,,
노갑이을,怒甲移乙,갑에게서 당한 노여움을 을에게 옮김. 어떠한 사람에게서 당한 노여움을 애꿎은 다른 사람에게 화풀이함.,怒,駑,愾,凱,,,
노당익장,老當益壯,늙었지만 의욕이나 기력은 점점 좋아짐.,老,駑,耆,杞,,,
노래지희,老萊之戱,효도. 자식이 나이가 들어도 부모의 자식에 대한 마음은 똑같으므로 변함없이 효도해야 함. 춘추시대 초나라 사람 노래자가 칠십의 나이에 무늬있는 옷을 입고 동자의 모습으로 재롱을 부려 부모에게 나식의 늙음을 잊게 해드린 일에서 유래.,老,駑,耆,杞,,,
노발대발,怒發大發,몹시 노하여 크게 성을 냄.,怒,駑,愾,凱,,,
노발충관,怒髮衝冠,노하여 일어선 머리카락이 관을 추켜올림. 몹시 성이 난 모양.,怒,駑,愾,凱,,,
노심초사,勞心焦思,몹시 마음을 쓰며 애를 태움.,勞,駑,拮,吉,,,
노이무공,勞而無功,애는 썼으나 보람이 없음.,勞,駑,拮,吉,,,
녹림호걸,綠林豪傑,푸른 숲 속의 호걸. 화적이나 도둑을 달리 이르는 말.,綠,麓,碧,璧,,,
녹의사자,綠衣使者,푸른 옷을 입은 사자. 앵무새.,綠,麓,碧,璧,,,
녹의홍상,綠衣紅裳,연두저고리에 다홍치마. 젊은 여자의 고운 옷차림.,綠,麓,碧,璧,,,
농와지경,弄瓦之慶,"딸을 낳은 즐거움. 예전에, 중국에서 딸을 낳으면 흙으로 만든 실패를 장난감으로 주었다는 데서 유래.",弄,膿,謔,壑,,,
농조연운,籠鳥戀雲,새장에 갇힌 새가 구름을 그리워함. 속박당한 몸이 자유를 그리워함.,籠,膿,籃,男,,,
누란지위,累卵之危,층층이 쌓아 놓은 알의 위태로움. 몹시 아슬아슬한 위기.,累,陋,庶,薯,,,
단기지교,斷機之敎,"학문을 중도에서 그만두면 짜던 베의 날을 끊는 것처럼 아무 쓸모없음. 맹자가 수학 도중에 집에 돌아오자, 그의 어머니가 짜던 베를 끊어 그를 훈계하였다는 데서 유래.",斷,緞,截,竊,,,
단도직입,單刀直入,혼자서 칼 한 자루를 들고 적진으로 곧장 쳐들어감. 여러 말을 늘어놓지 아니하고 바로 핵심적인 것을 말함.,單,緞,獨,禿,,,
담소자약,談笑自若,근심이나 놀라운 일을 당하였을 때도 보통 때와 같이 웃고 이야기하며 침착함.,談,痰,辯,弁,,,
담수지교,淡水之交,맑은 물의 사귐. 담박하고 변함이 없는 우정.,淡,痰,淑,塾,,,
당구풍월,堂狗風月,서당에서 기르는 개가 계속하여 글 읽는 소리를 들으면 풍월을 읊음. 한 분야에서 오래되면 노력하지 않아도 얼마간의 경험과 지식을 지니게 됨.,堂,螳,家,袈,,,
당동벌이,黨同伐異,일의 옳고 그름은 따지지 않고 뜻이 같으면 한 무리가 되고 그렇지 않으면 공격함.,黨,螳,群,窘,,,
대경실색,大驚失色,크게 놀라 얼굴빛이 하얗게 됨.,大,擡,价,凱,,,
대기만성,大器晩成,큰 그릇을 만드는 데는 시간이 오래 걸림. 크게 될 사람은 늦게 이루어짐.,大,擡,价,凱,,,
대동소이,大同小異,큰 차이 없이 거의 같음.,大,擡,价,凱,,,
대서특필,大書特筆,글자를 크게 쓰고 특별하게 보이게 씀. 신문 따위의 출판물에서 어떤 기사에 큰 비중을 두어 다룸.,大,擡,价,凱,,,
대의멸친,大義滅親,대의를 위해서는 친족도 멸함. 국가나 사회의 대의를 위해서는 부모 형제의 정도 돌보지 않음.,大,擡,价,凱,,,
대의명분,大義名分,사람으로서 마땅히 지키고 행하여야 할 도리나 본분. 어떤 일을 꾀하는 데 내세우는 합당한 구실이나 이유.,大,擡,价,凱,,,
도불습유,道不拾遺,나라가 잘 다스려지고 풍속이 아름다워서 길에 떨어진 물건도 주워가지 않음.,道,賭,徑,痙,,,
도청도설,道聽塗說,街談巷說 참조. 길거리에 떠도는 소문. 논어 양화편에 보임.,道,賭,徑,痙,,,
독서망양,讀書亡羊,글을 읽는 데 정신이 팔려서 먹이고 있던 양을 잃음. 하는 일에는 뜻이 없고 다른 생각만 하다가 낭패를 봄.,讀,禿,纏,廛,,,
독서삼도,讀書三到,"독서를 하는 세 가지 방법. 입으로 다른 말을 아니하고 책을 읽는 구도, 눈으로 다른 것을 보지 않고 책만 잘 보는 안도, 마음속에 깊이 새기는 심도.",讀,禿,纏,廛,,,
독서삼여,讀書三餘,"책을 읽기에 적당한 세 가지 여우있는 때. 겨울, 밤, 비가 올 때.",讀,禿,纏,廛,,,
독서상우,讀書尙友,책을 읽음으로써 옛날의 현인들과 벗이 될 수 있음. 맹자 만장 하편에 보임.,讀,禿,纏,廛,,,
두문불출,杜門不出,문을 닫고 나가지 아니함. 집에서 은거하면서 관직에 나가지 아니하거나 사회의 일을 하지 아니함.,杜,讀,拒,醵,,,
등고자비,登高自卑,높은 곳에 오르려면 낮은 곳에서부터 시작함. 일을 순서대로 하여야 함. 지위가 높아질수록 자신을 낮춤.,登,橙,昇,丞,,,
등루거제,登樓去梯,다락에 오르게 하고 사다리를 치움. 사람을 꾀어서 어려운 처지에 빠지게 함.,登,橙,昇,丞,,,
마이동풍,馬耳東風,말귀에 동쪽바람. 남의 말을 귀담아 듣지 않고 그대로 흘려버림.,馬,魔,斗,讀,,,
막상막하,莫上莫下,누구를 위라 하고 누구를 아래라 하기 어려움.,莫,寞,罔,芒,,,
막역지우,莫逆之友,사귐에 뜻이 맞아 서로 거스르는 일이 없는 벗.,莫,寞,罔,芒,,,
만시지탄,晩時之歎,시기에 늦어 기회를 놓쳤음을 안타까워하는 탄식.,晩,彎,晏,按,,,
만식당육,晩食當肉,늦게 배고플 때 먹는 것은 무엇이든 고기 맛과 같게 느껴짐.,晩,彎,晏,按,,,
맥수지탄,麥秀之嘆,"잘자란 보리이삭을 보고 하는 탄식. 고국의 멸망을 한탄함. 기자가 은나라가 망한 뒤의 폐허가 된 궁궐터에서도 보리는 잘 자라고, 기장은 윤기 있는 것을 보고 망국을 한탄하였다는 데서 유래.",麥,貊,牟,摸,,,
면벽구년,面壁九年,달마가 숭산 소림사에서 9년 동안 벽을 보고 좌선하여 도를 깨달은 일.,面,眄,顔,按,,,
면장우피,面張牛皮,얼굴에 쇠가죽을 바름. 몹시 뻔뻔스러움.,面,眄,顔,按,,,
면종복배,面從腹背,겉으로는 복종하는 체하면서 내심으로는 배반함.,面,眄,顔,按,,,
면종후언,面從後言,대면하여서는 복종하는 체하면서 뒤에서는 다른 말을 함.,面,眄,顔,按,,,
명경고현,明鏡高懸,높게 매달려 있는 맑은 거울. 시비를 분명하게 따지는 공정무사한 법관. 진나라에 있었다는 거울로 사람의 마음까지도 비추었다는 데서 유래.,明,皿,朗,囊,,,
명경지수,明鏡止水,맑은 거울과 고요한 물. 잡념과 가식과 헛된 욕심 없이 맑고 깨끗한 마음.,明,皿,朗,囊,,,
명세지재,命世之才,한 시대를 바로잡아 구원할 만한 큰 인재.,命,皿,壽,酬,,,
명실상부,名實相符,이름과 실상이 서로 꼭 맞음.,名,皿,乭,突,,,
명약관화,明若觀火,불을 보듯 분명하고 뻔함.,明,皿,朗,囊,,,
명재경각,命在頃刻,거의 죽게 되어 곧 숨이 끊어질 지경에 이름.,命,皿,壽,酬,,,
명재조석,命在朝夕,아침이나 저녁에 숨이 끊어질 지경.,命,皿,壽,酬,,,
명종주인,名從主人,사물의 이름은 원래 주인이 붙인 이름을 따름. 사물의 명칭은 현지의 호칭법에 따라야 한다는 말.,名,皿,乭,突,,,
명주암투,明珠闇投,명주를 어둠 속에서 남에게 던져줌. 귀중한 물건도 남에게 잘못 주면 오히려 원망을 듣게 됨.,明,皿,朗,囊,,,
명주탄작,明珠彈雀,새를 잡는데 명주를 씀. 작은 것을 탐내다가 큰 것을 손해 보게 됨.,明,皿,朗,囊,,,
명철보신,明哲保身,총명하고 사리에 밝아 일을 잘 처리하여 자기 몸을 보존함. 서경 열명에 보임.,明,皿,朗,囊,,,
모골송연,毛骨悚然,"두려움에 온몸의 털이 곤두서고, 뼈마디가 시림.",毛,摸,髮,魃,,,
모수자천,毛遂自薦,자기가 자기를 추천함. 춘추전국시대에 조나라 평원군이 초나라에 구원을 청하기 위하여 사신을 물색할 때에 모수가 스스로를 추천하였다는 데서 유래.,毛,摸,髮,魃,,,
목불식정,目不識丁,아주 간단한 글자인 '丁' 자를 눈으로 보고도 그것이 '고무래'인 줄을 알지 못함. 까막눈.,目,沐,雪,屑,,,
목불인견,目不忍見,눈앞에 벌어진 상황 따위를 눈뜨고는 차마 볼 수 없음.,目,沐,雪,屑,,,
목인석심,木人石心,나무로 만든 인간과 돌의 마음. 의지가 굳어 어떠한 유혹에도 마음이 흔들리지 않는 사람. 진나라 무제 때의 권신 가충이 한 말로 진서에 보임.,木,沐,樹,酬,,,
목전지계,目前之計,눈앞의 계책.,目,沐,雪,屑,,,
무병자구,無病自灸,질병이 없는데 스스로 뜸질을 함. 불필요한 노력을 하여 정력을 낭비함.,無,蕪,莫,寞,,,
무불간섭,無不干涉,함부로 참견하고 간섭하지 않는 일이 없음.,無,蕪,莫,寞,,,
무불통달,無不通達,통달하지 아니한 것이 없음.,無,蕪,莫,寞,,,
무불통지,無不通知,무슨 일이든지 환히 통하여 모르는 것이 없음.,無,蕪,莫,寞,,,
무비일색,無比一色,견줄 데가 없는 오직 하나의 미모. 미인.,無,蕪,莫,寞,,,
무소불위,無所不爲,하지 못하는 바가 없음. 주로 강한 권력을 말할 때 쓰임.,無,蕪,莫,寞,,,
무용지용,無用之用,쓸모없는 것의 쓰임. 언뜻 보기에 쓸모없는 것이 오히려 큰 구실을 함.,無,蕪,莫,寞,,,
무위이치,無爲而治,성인의 덕이 지극히 커서 아무 일을 하지 않아도 천하가 저절로 잘 다스려짐. 논어 위령공편에 보임.,無,蕪,莫,寞,,,
무위이화,無爲而化,인위적인 노력을 하지 않아도 스스로 변화함. 성인의 덕이 크면 클수록 백성들이 스스로 따라서 감화됨.,無,蕪,莫,寞,,,
무위자연,無爲自然,인위적인 것이 없고 저절로 그러한 상태. 이상적인 경지.,無,蕪,莫,寞,,,
무위지치,無爲之治,인위적인 노력을 하지 않아도 다스려지는 이상적 정치.,無,蕪,莫,寞,,,
무의무탁,無依無托,몸을 의지하고 맡길 곳이 없음. 몹시 가난하고 외로운 상태.,無,蕪,莫,寞,,,
무편무당,無偏無黨,어느 한쪽으로 치우치거나 특정 무리에 속하지 않음.,無,蕪,莫,寞,,,
문일지십,聞一知十,하나를 듣고 열 가지를 미루어 앎. 지극히 총명함. 논어 공야장에 보임.,聞,蚊,聽,廳,,,
물경소사,勿輕小事,작은 일이라도 가벼이 보지 말라는 뜻. 작은 일에도 정성을 다하라는 가르침.,勿,物,斗,讀,,,
물부충생,物腐蟲生,물건이란 반드시 먼저 썩은 뒤에야 벌레가 생김. 내부에 약점이 생기면 곧 외부의 침입이 있게 됨.,物,勿,件,虔,,,
물실호기,勿失好機,좋은 기회를 놓치지 말라는 뜻.,勿,物,斗,讀,,,
물심일여,物心一如,사물과 마음이 구분 없이 하나의 근본으로 통합됨.,物,勿,件,虔,,,
물외한인,物外閒人,세상사에 관계하지 않고 한가롭게 지내는 사람.,物,勿,件,虔,,,
미능면속,未能免俗,전해 내려온 풍속을 따를 수밖에 없음.,未,靡,否,覆,,,
미인박명,美人薄命,미인의 목숨은 짧음.,美,靡,嘉,袈,,,
미진보벌,迷津寶筏,길을 헤매는 나루에서 길을 찾아가는 훌륭한 배. 삶에 가르침을 주는 책.,迷,靡,惑,酷,,,
밀운불우,密雲不雨,짙은 구름이 끼어 있으나 비가 오지 않음. 어떤 일의 징조만 있고 그 일은 이루어지지 않음. 위에서 내리는 은택이 아래까지 고루 내려지지 않음.,密,謐,稠,粗,,,
박람강기,博覽强記,여러 가지의 책을 널리 많이 읽고 기억을 잘함.,博,駁,廣,壙,,,
박장대소,拍掌大笑,손뼉을 치며 크게 웃음.,拍,駁,擊,膈,,,
박학다식,博學多識,학식이 넓고 아는 것이 많음.,博,駁,廣,壙,,,
반낭주대,飯囊酒袋,밥을 담는 주머니와 술을 담는 부대.,飯,頒,食,熄,,,
반문농부,班門弄斧,목장의 시조라는 노반의 문 앞에서 도끼 다루는 솜씨를 자랑함. 전문가 앞에서 얄팍한 재주를 뽐냄.,班,頒,配,陪,,,
반식재상,伴食宰相,옆에서 밥만 먹는 재상. 재능이 없으면서 유능한 재상 옆에 붙어서 정사를 처리하는 재상.,伴,頒,侶,濾,,,
발본색원,拔本塞源,뿌리를 뽑고 샘물을 막음. 좋지 않은 일의 근본을 없애 다시는 그러한 일이 생길 수 없도록 함.,拔,魃,募,摸,,,
발산개세,拔山蓋世,힘은 산을 뽑을 만큼 세고 기개는 세상을 덮을 만큼 웅대함. 항우가 해하에서 한나라 군사에게 포위되었을 때 적군들이 사방에서 초나라 노래를 부르는 것을 듣고 읊었다는 시의 한 구절에서 유래.,拔,魃,募,摸,,,
방기곡경,旁岐曲徑,옆으로 난 샛길과 구불구불한 길.,旁,肪,側,惻,,,
방약무인,傍若無人,곁에 사람이 없는 것 같음. 거리낌 없이 함부로 말하고 행동하는 태도.,傍,肪,側,惻,,,
배반낭자,杯盤狼藉,잔과 접시들이 어지럽게 흩어져 있음. 잔치가 파할 무렵이나 파한 뒤의 어지러운 술자리.,杯,陪,觴,翔,,,
배중사영,杯中蛇影,술잔 속에 비친 뱀의 그림자. 쓸데없는 의심을 품고 스스로 고민함.,杯,陪,觴,翔,,,
백락일고,伯樂一顧,"알아주는 사람이 있어야 능력을 발휘할 수 있음. 백락은 주나라 때 사람으로 말을 잘 감정하였는데, 명마라도 백락을 만나지 못하면 소금수레를 끌 뿐이었다는 데서 유래.",伯,魄,昆,鵠,,,
백아절현,伯牙絶絃,"자기를 알아주는 참다운 벗의 죽음을 슬퍼함. 춘추시대에 백아는 거문고를 매우 잘 탔고 그의 벗 종자기는 그 거문고 소리를 잘 들었는데, 종자기가 죽어 그 거문고 소리를 들을 사람이 없게 되자 백아가 절망하여 거문고 줄을 끊어 버리고 다시는 거문고를 타지 않았다는 데서 유래.",伯,魄,昆,鵠,,,
백중숙계,伯仲叔季,"백은 맏이, 중은 둘째, 숙은 셋째, 계는 막내라는 뜻으로, 사형제의 차례를 이르는 말.",伯,魄,昆,鵠,,,
백중지세,伯仲之勢,누가 첫째이고 둘째인지 구분하기 어려움.,伯,魄,昆,鵠,,,
별무장물,別無長物,장물은 여분이라는 뜻. 필요한 것 이외에는 갖지 않음. 물욕이 없는 검소한 생활.,別,瞥,殊,酬,,,
부화뇌동,附和雷同,우레 소리에 붙어 섞임. 자기 주견이 없이 남의 의견에 따라 움직임.,附,覆,粘,霑,,,
분서갱유,焚書坑儒,"중국 진나라의 시황제가 학자들의 정치적 비판을 막기 위하여 민간의 책 가운데 의약, 복서, 농업에 관한 것만을 제외하고 모든 서적을 불태우고 수많은 유생을 구덩이에 묻어 죽인 일.",焚,扮,燒,遡,,,
불가구약,不可救藥,치료약을 구할 수 없음. 일이 만회할 수 없을 지경에 달하였음. 시경 대아의 판시에 보임.,不,彿,未,靡,,,
불공대천,不共戴天,하늘을 함께 이지 못함. 이 세상에서 같이 살 수 없을 만큼 큰 원한.,不,彿,未,靡,,,
불문가지,不問可知,묻지 아니하여도 알 수 있음.,不,彿,未,靡,,,
불문곡직,不問曲直,옳고 그름을 따지지 아니함.,不,彿,未,靡,,,
불원천리,不遠千里,천 리 길도 멀다고 여기지 않음. 맹자 양혜왕에 보임.,不,彿,未,靡,,,
불철주야,不撤晝夜,어떤 일에 몰두하여 조금도 쉴 사이 없이 밤낮을 가리지 아니함.,不,彿,未,靡,,,
불치하문,不恥下問,손아랫사람이나 지위나 학식이 자기만 못한 사람에게 모르는 것을 묻는 일을 부끄러워하지 아니함. 논어 공야장 편에 보임.,不,彿,未,靡,,,
비몽사몽,非夢似夢,완전히 잠이 들지도 잠에서 깨어나지도 않은 어렴풋한 상태.,非,沸,未,靡,,,
사생취의,捨生取義,목숨을 버리고 의를 좇음. 목숨을 버릴지언정 옳은 일을 함. 맹자 고자에 보임.,捨,蓑,棄,杞,,,
사시이비,似是而非,그럴듯하나 아님. 맹자 진심장 하편에 보임.,似,蓑,肖,梢,,,
사필귀정,事必歸正,모든 일은 반드시 바른길로 돌아감.,事,蓑,業,掩,,,
살신성인,殺身成仁,자기의 몸을 희생해서 인을 이룸. 논어 위령공편에 보임.,殺,薩,屠,賭,,,
삼라만상,森羅萬象,우주에 있는 온갖 사물과 현상.,森,蔘,林,淋,,,
생구불망,生口不網,산 입에 거미줄을 치지는 아니함. 아무리 곤궁하여도 그럭저럭 먹고살 수 있음.,生,甥,居,醵,,,
설왕설래,說往說來,서로 변론을 주고받으며 옥신각신함. 말이 오고 감.,說,屑,譚,痰,,,
섬섬옥수,纖纖玉手,가냘프고 옥처럼 고운 여자의 손.,纖,殲,細,說,,,
세한송백,歲寒松柏,추운 겨울의 소나무와 잣나무. 어떤 역경 속에서도 지조를 굽히지 않음. 또는 그런 지조. 논어 자한에 보임.,歲,說,年,撚,,,
손자삼우,損者三友,"사귀면 손해가 되는 세 종류의 벗. 편벽한 벗, 착하기만 하고 줏대가 없는 벗, 말만 잘하고 성실하지 못한 벗. 논어 계씨편에 보임.",損,遜,減,紺,,,
심사숙고,深思熟考,깊이 잘 생각함.,深,瀋,奧,惡,,,
어망홍리,魚網鴻離,물고기를 잡으려고 쳐 놓은 그물에 기러기가 걸림. 구하는 것이 아닌 딴것을 얻음. 남의 일로 엉뚱하게 화를 입게 됨.,魚,禦,肉,育,,,
어불성설,語不成說,말이 조금도 사리에 맞지 아니함.,語,禦,譚,痰,,,
어유부중,魚遊釜中,물고기가 솥 안에서 노님. 살아 있기는 하여도 생명이 얼마 남지 아니하였음. 상황이 극히 위험한 상태.,魚,禦,肉,育,,,
언중유골,言中有骨,말 속에 뼈가 있음. 예사로운 말 속에 단단한 속뜻이 들어 있음.,言,堰,譚,痰,,,
여조삭비,如鳥數飛,학습. 배우고 익히는 것은 새가 자주 날갯짓하는 것과 같다는 뜻. 논어 학이편 주자 주에 보임.,如,余,若,爺,,,
염량세태,炎?世態,세력이 있을 때는 아첨하여 따르고 세력이 없어지면 푸대접하는 세상인심.,炎,艶,炳,餠,,,
옥석구분,玉石俱焚,옥과 돌이 함께 불에 탐. 옳은 사람이나 그른 사람의 구별 없이 모두 재앙을 입음. 서경 하서 윤정편에 보임.,玉,沃,瓊,痙,,,
요산요수,樂山樂水,산수의 자연을 즐기고 좋아함. 논어 옹야편에 보임.,樂,諾,肯,亘,,,
유비무환,有備無患,미리 준비가 되어 있으면 걱정할 것이 없음. 서경 열명편에 보임.,有,喩,繼,悸,,,
유유자적,悠悠自適,한가하고 여우롭게 자기 가고 싶은 데 다니며 속박 없이 편안하게 삶.,悠,喩,遼,寮,,,
은거방언,隱居放言,은거하여 살면서 마음속에 품고 있는 생각을 털어놓음. 논어 미자편에 보임.,隱,殷,遁,臀,,,
익자삼우,益者三友,"사귀어서 자기에게 도움이 되는 세 가지의 벗. 심성이 곧은 사람, 믿음직한 사람, 문견이 많은 사람. 논어 계씨편에 보임.",益,翌,加,袈,,,
인생삼락,人生三樂,"인생의 세 가지 즐거움. 사람으로 탱난 것, 사내로 태어난 것, 장수하는 것.",人,咽,慈,炙,,,
일국삼공,一國三公,한 나라에 세 임금. 많은 사람들이 저마다 구구한 의견을 제시함을 비유한 말.,一,溢,恨,罕,,,
일사천리,一瀉千里,강물이 빨리 흘러 천 리를 감. 어떤 일이 거침없이 빨리 진행됨.,一,溢,恨,罕,,,
일이관지,一以貫之,하나의 방법이나 태도로써 처음부터 끝까지 한결같음. 논어 이인편에 보임.,一,溢,恨,罕,,,
일일삼추,一日三秋,하루가 삼 년 같음. 몹시 애태우며 기다림. 시경 왕풍의 시 채갈에 보임.,一,溢,恨,罕,,,
일일천리,一日千里,하루에 천 리를 달림. 말이 매우 빨리 달림. 발전하는 속도가 빠름. 물의 흐름이 빠름.,一,溢,恨,罕,,,
일자천금,一字千金,"글자 하나의 값이 천금의 가치가 있음. 글씨나 문장이 아주 훌륭함. 진나라의 여불위가 식객들을 동원해 백과사전격인 여씨춘추를 완성하고, 이 책에 대한 강한 자부심의 표현으로, 수도인 함양 성문에 걸어놓고, 누구든지 한 글자라도 더하거나 뺀다면 천금을 주겠다고 한 데서 유래.",一,溢,恨,罕,,,
일장일단,一長一短,일면의 장점과 다른 일면의 단점을 통틀어 이름.,一,溢,恨,罕,,,
작심삼일,作心三日,단단히 먹은 마음이 사흘을 가지 못함. 결심이 굳지 못함.,作,勺,製,悌,,,
적자지심,赤子之心,적자의 마음. 죄악에 물들지 아니하고 순수하며 거짓이 없는 마음. 맹자 이루 하편에 보임.,赤,炙,丹,緞,,,
